id,context,content,translation,when_to_use,difficulty,tags,examples,created_at
chunk_20260718105500_4487,Teste,This is a test chunk.,Este e um chunk de teste.,,beginner,,,2026-07-18T13:55:00.474894+00:00
chunk_20260718105641_3678,Saude,I don't feel well today.,Nao me sinto bem hoje.,Quando esta doente ou nao se sente bem.,beginner,"health,sick,daily",I don't feel well today. I think I have a fever.,2026-07-18T13:56:41.197004+00:00
chunk_20260718105641_3876,Educacao,Could you explain this again?,Voce poderia explicar isso de novo?,Em sala de aula quando nao entendeu algo.,beginner,"education,classroom,learning",,2026-07-18T13:56:41.225976+00:00
chunk_20260718105641_5011,Educacao,What's the homework for today?,Qual e a licao de casa para hoje?,Ao perguntar sobre tarefas escolares.,beginner,"education,homework,school",,2026-07-18T13:56:41.225998+00:00
chunk_20260718105641_5909,Saude,I need to see a doctor.,Preciso ver um medico.,Quando precisa de atendimento medico.,beginner,"health,doctor,emergency",,2026-07-18T13:56:41.226018+00:00
chunk_20260718105641_6536,Saude,I don't feel well today.,Nao me sinto bem hoje.,Quando esta doente.,beginner,,,2026-07-18T13:56:41.226035+00:00
chunk_20260718105641_8338,Tecnologia,The software update is ready to install.,A atualizacao de software esta pronta para instalar.,Ao notificar sobre atualizacoes de programas.,intermediate,"technology,software,updates",The software update is ready to install. Restart your computer.,2026-07-18T13:56:41.246215+00:00
chunk_20260718105641_2953,Tecnologia,Could you help me with this app?,Voce poderia me ajudar com este aplicativo?,Ao pedir suporte tecnico.,beginner,"technology,help,support",,2026-07-18T13:56:41.246235+00:00
chunk_20260718105641_8952,Musica,Do you like this song?,Voce gosta dessa musica?,Perguntar sobre preferencia musical,beginner,music,preferences,2026-07-18T13:56:41.249235+00:00
chunk_20260718105641_8997,Musica,I play the guitar.,Eu toco guitarra.,Falar sobre hobbies musicais,beginner,music,hobbies,2026-07-18T13:56:41.249296+00:00
chunk_20260718105641_5261,Cinema,What movie are we watching?,Que filme vamos assistir?,Ao escolher um filme,beginner,cinema,entertainment,2026-07-18T13:56:41.249348+00:00
